code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002011,盾安环境,工程机械,浙江,6.15,9.14,9.17,99.45,54.1,13.65,21.17,2.31,0.5539999999999999,2.99,1.52,20040705,-4.7,-0.51,-0.43,1127.83,17.0,7.55,70474.0
000501,鄂武商Ａ,百货,湖北,7.77,7.68,7.69,228.57,65.85,65.15,14.49,1.88,1.07,11.76,0.94,19921120,54.63,7.1,-0.42,4.52,21.59,6.35,23124.0
600308,华泰股份,造纸,山东,8.07,11.68,11.68,141.49,56.69,61.58,22.44,1.92,0.414,6.83,0.65,20000928,38.71,3.32,-9.7,-25.69,12.97,4.8,78780.0
601222,林洋能源,电器仪表,江苏,9.53,17.49,17.58,179.58,79.1,89.23,47.33,2.69,0.39,5.5,0.9,20110808,30.85,1.76,-7.23,6.03,48.02,26.95,51938.0
601216,君正集团,化工原料,内蒙,8.81,84.38,84.38,281.98,25.94,62.07,2.75,0.03,0.23,2.19,1.23,20110222,88.76,1.05,1.54,3.78,42.71,30.32,123216.0
600483,福能股份,火力发电,福建,9.89,15.52,15.52,276.93,77.01,145.03,32.05,2.07,0.633,7.67,1.09,20040531,43.83,2.82,13.66,33.23,19.83,13.26,21893.0
601233,桐昆股份,化纤,浙江,7.83,18.48,18.48,390.44,139.97,160.27,62.26,3.37,1.34,9.68,1.43,20110518,90.53,4.9,20.66,-2.1,13.22,6.58,50241.0
600035,楚天高速,路桥,湖北,7.63,15.25,16.93,104.69,17.7,5.53,12.72,0.75,0.3,3.8,0.82,20040310,24.14,1.43,-12.56,5.47,46.65,26.94,70737.0
600668,尖峰集团,水泥,浙江,6.08,3.44,3.44,54.97,17.34,12.82,4.51,1.31,1.786,10.58,1.37,19930728,25.39,7.38,11.25,25.89,40.99,23.93,30200.0
600987,航民股份,纺织,浙江,9.67,9.21,10.81,68.6,45.7,19.0,0.56,0.05,0.461,4.24,1.4,20040809,31.03,2.87,-13.52,10.11,21.38,9.87,22631.0
600757,长江传媒,出版业,湖北,8.52,12.13,12.14,108.25,84.55,8.28,18.15,1.5,0.529,5.89,1.02,19961003,38.4,3.16,-27.44,1.23,26.89,11.52,36671.0
600587,新华医疗,医疗保健,山东,6.61,4.03,4.06,128.78,59.06,23.36,16.63,4.09,1.974,10.21,1.7,20020927,19.69,4.84,-12.92,422.08,21.76,12.71,37116.0
000900,现代投资,路桥,湖南,5.76,15.17,15.18,349.18,98.95,19.54,4.48,0.3,0.542,6.53,0.64,19990128,68.48,4.51,8.83,2.72,15.78,8.4,62550.0
601828,美凯龙,其他商业,上海,7.69,3.96,35.5,1220.12,157.81,2.33,42.15,1.19,1.0659999999999998,12.55,0.87,20180117,336.45,9.48,18.34,-9.06,67.07,32.0,75602.0
600510,黑牡丹,全国地产,江苏,7.88,10.47,10.47,295.88,252.19,7.62,29.87,2.85,0.612,7.88,0.82,20020618,35.55,3.39,110.07,462.6,41.86,10.49,24639.0
600589,广东榕泰,塑料,广东,8.67,7.04,7.04,52.7,31.03,6.24,13.0,1.85,0.446,4.94,1.04,20010612,13.36,1.9,-11.87,152.23,26.28,30.33,42941.0
