# Constructed from biom file					
OTU.ID	A	C	B	E	D
2707798	15	16	3	9	13
4337631	96	66	52	100	166
260900	1	0	0	2	0
147486	1	0	4	1	0
210067	0	2	0	0	0
137385	3	1	1	4	5
545956	7	24	17	27	27
4355723	0	0	0	0	0
744505	9	4	1	12	3
4468125	1	0	0	0	0
578701	220	65	53	155	189
812105	62	43	46	68	61
738779	43	18	217	52	54
4359608	8	7	1	2	4
244670	702	394	182	501	345
4304638	0	0	0	2	0
1108483	0	1	0	0	2
301596	1	0	6	0	0
810882	83	34	22	24	38
846368	62	16	8	9	34
144464	4	32	2	40	14
4827	62	32	11	39	69
4449185	24	8	2	36	29
4154872	0	0	0	0	2
643182	0	0	1	0	7
254280	0	2	2	0	3
2969888	4	1	0	0	0
693926	4	1	0	7	4
751360	2	0	0	5	2
824997	15	5	0	4	5
4349218	0	0	0	1	2
1116937	5	0	3	2	1
4431901	1	0	0	0	0
246739	47	1	3	4	6
537719	108	1007	746	82	61
1112399	0	1	0	0	0
335316	0	0	0	0	0
547714	1	2	0	1	0
4416809	5612	3266	3532	9045	5881
4470872	6	2	0	7	4
565750	0	1	0	0	1
527415	41	46	7	84	123
114295	1	0	6	10	0
944510	0	0	1	1	0
4340927	0	0	0	1	0
1812606	26	20	7	20	18
131482	2	0	0	0	0
2751	2	0	0	0	0
145362	1	13	4	17	8
236325	23	30	16	27	46
541761	210	107	52	68	303
735466	0	0	1	0	0
2154367	2	3	2	0	0
812073	8	5	2	5	4
1933407	1	2	1	0	3
825653	1	0	0	0	0
4399780	0	0	0	1	8
715527	2	4	0	0	3
841724	5	5	4	15	17
3312252	3	1	0	0	1
571363	0	1	1	0	0
1500418	1	0	1	2	5
676387	1	1	0	0	1
809840	1	0	0	0	0
213557	20	6	8	8	14
4376094	0	0	0	1	0
143802	0	0	0	0	1
809245	2	0	2	0	0
210800	1	0	0	2	3
4326152	66	24	48	73	52
1145388	1	1	1	4	21
60579	8	25	3	9	8
415655	29	7	53	10	9
4295156	1262	1777	3977	2195	3071
22061	24	18	5	13	22
4389128	1	1	1	0	0
222300	0	0	3	0	2
224604	0	1	0	0	1
252625	1	3	2	2	0
701385	9432	6944	688	4705	3761
533886	0	1	0	0	0
4364714	77	305	361	286	110
530275	0	3	0	5	1
261435	5	2	0	2	2
822874	2	1	1	0	0
863772	1	0	0	0	1
4348694	45	15	40	32	60
882422	0	1	0	0	0
4473304	0	1	0	0	1
797200	3	2	1	1	10
4435984	468	118	84	365	301
