ID	S1G	S2G	T1G	T2G
7123	14.1354	35.6677	383.715	435.218
114885	2.81938	3.17193	2.45308	2.89976
28999	1.9665	0.295804	2.14067	2.86856
94032	0.223882	6.73859	0.142218	0.0697835
6184	164.738	129.053	92.0012	93.5149
5984	2.73314	3.1868	2.30662	1.8742
116832	11.8359	4.10232	9.03691	11.5762
5648	0.132629	0.0488227	1.78096	0.825376
26043	2.00327	2.7828	3.12431	3.94896
4241	1.43324	0.460196	11.7072	5.99836
64789	0.509708	1.05724	0.724435	0.388013
27071	0.706142	0.919753	1.31538	1.00424
3015	129.584	85.399	34.2323	39.1313
51705	0.860788	1.90487	10.336	7.00448
11277	0.000995679	0.0941072	0.507817	0.0932124
51246	50.3982	21.399	14.384	18.1912
8927	0.0256496	1.84993	0.163834	0.426668
327	26.3057	16.9974	14.771	20.7862
79012	0	0	0	0.000169272
84315	4.6887	2.41117	4.48768	4.89393
4486	2.49535	0.725712	0.478479	0.249234
1849	5.59122	6.85705	13.2622	16.0486
25886	1.92829	1.60685	0.698287	1.04558
101060408	0.929211	0.0835436	0.226937	0.246494
133121	0.0772994	0.0543265	0.4358	1.89024
7098	1.49278	0.946969	2.28675	2.26192
27242	3.46058	2.40498	7.85564	25.4161
222611	0	0	0	0.0203554
1437	0.0806812	0.219104	0.0782846	0
85477	0.283536	0.492521	0.60853	0.224591
819	11.6512	8.78238	16.3192	12.8801
3313	56.0812	55.7555	33.5911	40.816
6469	0.00969282	0.0181397	0.0611886	0.000106638
1278	772.844	394.565	160.062	648.067
64921	2.55928	2.26349	4.0408	3.6286
5224	0.0702466	0.191859	0.61075	0.32927
25798	57.0272	57.8329	54.6012	62.6682
22853	1.39683	2.15196	3.05499	3.41522
107	0.315773	0.415196	1.16575	4.74602
734	1.73195	2.62888	1.76585	1.55252
51808	6.206	3.88316	9.61029	7.58057
25962	2.68581	8.32918	2.90549	2.55714
2669	1.49249	7.25023	15.4698	11.514
54704	5.54383	2.91073	8.21362	5.84434
55582	0.223468	0.471877	0.781438	1.11833
79987	0.958714	1.45344	8.8875	2.24068
158131	0	0	0.0484914	0
22829	0	0	0	0
143279	0.411958	0.974753	1.27297	1.38359
115825	5.41221	2.86013	3.61772	5.06221
280658	0	0	0	0.000389819
283209	1.82062	0.635784	1.28758	1.14962
641654	0.0242335	0	0.365725	0.271825
63876	0.841393	0.259241	0.282532	0.321829
11067	23.8272	20.6332	94.1404	33.9153
220979	0.230238	0.202369	0.312394	0.537286
7570	5.72737	4.16147	6.07931	6.59636
122042	0	0	0	0
27199	0	0	1.13077	0.779749
116225	8.99466	10.9915	11.2709	14.5479
5826	1.62858	0.247332	0.930819	1.73459
64112	8.15034	20.1299	15.08	16.4348
55727	1.09182	1.12408	1.40541	0.870786
120892	0.505813	0.427305	0.801295	0.661356
27291	2.7177	2.91201	2.60559	2.32637
55662	10.3006	10.9963	11.5449	12.8793
4714	107.554	227.6	143.113	132.966
9529	5.4261	4.72304	7.99801	8.12693
9071	0.363097	0.166085	1.39735	0.340137
254225	1.37079	1.56058	1.81803	2.23317
79053	9.90597	7.16678	4.00946	7.35754
7551	2.61347	6.63075	8.50428	5.86218
89832	0.289335	0.179452	0.0970009	0.173443
101060521	3.54776	2.13867	1.3399	2.1372
9382	6.10623	6.04403	8.02875	8.31755
112479	0.12796	0.0402811	0.145779	0.102295
219539	0.245354	0.344693	3.90671	2.45502
6340	1.38461	0.409752	0.858862	1.09436
54386	16.9201	48.9385	29.391	30.9563
11318	0.114091	0.132697	1.27272	0.346493
9880	1.39324	0.829383	2.15392	2.07707
23306	1.83394	1.87839	1.74711	2.26389
4665	4.98683	3.51191	15.6445	18.9497
6778	29.5133	19.3852	54.9949	54.502
6447	0.67945	1.27162	0.871529	4.30952
26585	7.11631	6.9766	3.75471	5.31346
22974	5.9436	5.94214	0.401253	0.782451
140706	0.0625863	1.90378	3.19028	2.41776
83658	0.0784974	0.271959	0.142726	0.0856264
1292	248.814	163.963	294.161	501.271
146378	0	0.180275	0	0
653641	0.0178496	0.0223878	0.00156555	0.0599056
10985	11.2407	5.8151	11.1855	15.5933
64772	1.42743	1.21608	3.60908	2.65226
10632	86.2187	101.582	87.1965	70.3339
915	7.97815	25.5635	9.43133	7.91271
146705	0.449848	0.181061	0.528881	0.399758
6786	13.3056	14.2928	20.1181	25.4996
6240	10.0316	10.8483	8.95172	10.6548
282763	0	0	0.0493157	0
390061	0	0	0	0.0463771
112476	0.138745	0.932703	1.10532	0.891519
55181	2.50151	5.84861	3.62258	3.75061
7171	134.882	204.041	168.899	186.39
4218	12.9942	16.3701	11.6304	11.7059
90007	14.636	18.9935	6.99894	4.5633
29123	6.92863	9.86857	5.23843	4.63918
147011	0.348573	0.420151	0.388029	0.517137
121274	2.81594	3.82878	2.61457	3.61501
100861437	5.10657	3.77514	10.9386	12.0787
3906	0	0	0	1.7883
90313	25.4419	18.4905	24.5763	31.5978
55769	1.68773	3.72374	2.73391	0.24944
558	11.1134	10.0714	13.0713	13.9517
284339	0	9.80106	0.0447136	0.0745158
116115	5.331	3.80095	5.67577	6.80537
113655	20.1233	10.4199	8.44111	15.8625
90990	0.798382	1.92884	1.53271	0.897224
84765	1.14994	0.60052	1.52964	1.50876
94115	0.170304	0	0.0361065	0.0583944
4909	0	0	2.01563	2.31164
10224	0.830716	1.40651	1.33599	1.66396
3396	27.2927	31.04	31.8934	28.9571
10476	139.545	189.239	120.365	133.583
92162	0.409096	1.9103	10.6512	5.13549
2125	2.95879	1.31961	4.46866	4.83705
57690	0.0434289	0.0937804	0.126616	0.0322846
7083	16.1589	12.1814	2.18177	2.91427
3868	6.76121	0.0578902	10.9863	3.39317
84514	0.832217	1.21304	3.01593	1.44408
146434	1.1438	1.86499	1.40528	1.57865
4054	1.06842	14.053	3.83357	4.74938
116071	0.615836	3.13275	0.318832	0.460531
929	3.79579	7.16121	2.34904	4.96596
202052	0.459557	1.74032	3.48155	3.22835
63895	0.490363	0.672495	1.23364	1.19188
202051	0.475107	0.670468	0.629846	0.539358
51237	2.32145	34.1488	42.3704	35.2046
9448	0.560592	0.134614	0.201259	0.886
55308	9.20921	9.90302	12.2028	14.0661
2548	1.24917	0.433856	0.513961	0.788168
3688	121.372	100.417	89.2336	106.876
3622	6.87647	8.00992	3.56695	5.08275
124583	4.09174	9.24172	6.41904	12.2139
55352	25.1393	58.0281	29.6957	28.2345
23788	13.8811	23.5248	7.33527	10.5574
114900	0.699434	1.13853	5.11739	14.5128
23450	12.3312	16.1491	8.59816	13.2605
51523	7.53363	33.5383	11.5074	22.5348
6249	0.000266782	0.00059913	0.00126802	0.00034008
727851	0.95066	0.831945	1.43372	1.49664
10978	3.1691	1.79595	2.4478	2.57173
5162	19.312	23.6379	15.4697	17.7003
699	0.945321	1.23254	0.0941168	0.258436
1495	117.268	91.6564	77.988	90.7493
51082	5.32778	9.25604	6.00574	5.00024
56890	0.758185	6.97833	0.636377	0.725882
27166	52.8906	59.2815	58.6165	50.8266
9451	2.68234	4.49681	1.24413	1.76549
53917	9.93689	12.2516	23.2364	17.5005
5036	35.575	16.3901	31.7713	30.3308
27249	24.0003	22.2375	25.3565	25.2616
9902	25.0699	14.6501	26.9443	54.4207
3221	0.573572	1.88094	0.453829	0.891559
3225	13.8361	10.2447	8.14203	10.6215
3226	18.3118	13.065	3.84459	9.07092
686	6.78649	8.80523	7.93656	8.02523
3761	0	0	0.0213832	0.0210889
84168	45.9267	24.9498	27.9664	29.9298
58485	51.1164	54.767	60.7959	54.9493
9196	0.134541	0.10351	0.314763	0.532614
200558	0.63187	0.0613037	0.257364	0.800273
2861	0.484758	0.151471	0.346675	0.781601
112398	41.8498	62.9401	49.53	40.2083
23210	0.548018	0.574978	0.400934	0.576143
9533	2.31067	1.72942	5.06471	3.07899
126070	2.1695	4.14376	1.86843	1.82792
3790	7.60483	3.10104	7.26088	4.54311
9555	26.1303	17.8045	9.85858	13.38
1816	0	0	0.0363735	0
2850	0.241661	2.24719	3.40984	3.97492
23204	54.5194	90.1139	34.3663	30.6197
60481	131.18	35.7611	30.4421	43.5422
653489	0.327533	0.0886573	0.221319	0.169416
283899	0.458562	0.415346	0.305672	0.735903
4798	0.00113319	0.0397036	1.68759	3.72552
56980	0.132499	0.122396	0.3028	0.0634412
7543	2.03477	0.918077	0.999079	1.61328
5190	11.202	1.96648	10.6146	12.817
23214	10.5076	10.0903	7.27104	11.3493
392390	0.0308596	0.0564291	0	0
285855	4.43544	5.16135	8.56185	7.84782
22990	0.961024	1.22178	2.13169	2.65147
2357	4.31496	4.95727	0.52452	1.11855
9340	0.425166	0	0	0
